annotation_id,substantive_target_discourse,clinical_frame_present,lived_experience_frame_present,confidence,source_file,derived_frame
llm_train_00028,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00029,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00030,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00031,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00032,True,True,True,high,annotator_batch_001.jsonl,mixed
llm_train_00033,True,True,True,medium,annotator_batch_001.jsonl,mixed
llm_train_00034,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00035,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00036,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00037,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00038,True,False,False,medium,annotator_batch_001.jsonl,substantive_other
llm_train_00039,False,,,medium,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00040,True,False,True,medium,annotator_batch_001.jsonl,lived_only
llm_train_00041,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00042,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00043,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00044,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00045,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00046,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00047,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00048,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00049,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00050,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00051,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00052,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00053,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00054,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00055,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00056,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00057,True,True,True,medium,annotator_batch_001.jsonl,mixed
llm_train_00058,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00059,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00060,True,False,True,medium,annotator_batch_001.jsonl,lived_only
llm_train_00061,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00062,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00063,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00064,True,True,True,medium,annotator_batch_001.jsonl,mixed
llm_train_00065,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00066,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00067,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00068,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00069,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00070,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00071,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00072,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00073,True,True,True,high,annotator_batch_001.jsonl,mixed
llm_train_00074,False,,,medium,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00075,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00076,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00077,True,True,True,medium,annotator_batch_002.jsonl,mixed
llm_train_00078,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00079,True,False,True,medium,annotator_batch_002.jsonl,lived_only
llm_train_00080,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00081,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00082,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00083,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00084,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00085,True,True,True,medium,annotator_batch_002.jsonl,mixed
llm_train_00086,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00087,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00088,False,,,medium,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00089,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00090,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00091,True,True,True,high,annotator_batch_002.jsonl,mixed
llm_train_00092,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00093,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00094,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00095,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00096,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00097,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00098,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00099,True,True,True,high,annotator_batch_002.jsonl,mixed
llm_train_00100,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00101,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00102,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00103,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00104,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00105,True,True,True,medium,annotator_batch_002.jsonl,mixed
llm_train_00106,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00107,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00108,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00109,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00110,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00111,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00112,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00113,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00114,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00115,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00116,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00117,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00118,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00119,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00120,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00121,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00122,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00123,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00124,False,,,medium,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00125,True,True,True,high,annotator_batch_002.jsonl,mixed
llm_train_00126,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00127,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00128,True,True,True,medium,annotator_batch_002.jsonl,mixed
llm_train_00129,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00130,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00131,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00132,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00133,True,False,True,medium,annotator_batch_002.jsonl,lived_only
llm_train_00134,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00135,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00136,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00137,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00138,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00139,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00140,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00141,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00142,True,True,False,high,annotator_batch_002.jsonl,clinical_only
llm_train_00143,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00144,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00145,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00146,True,True,True,medium,annotator_batch_002.jsonl,mixed
llm_train_00147,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00148,True,False,True,high,annotator_batch_002.jsonl,lived_only
llm_train_00149,True,True,False,medium,annotator_batch_002.jsonl,clinical_only
llm_train_00150,False,,,high,annotator_batch_002.jsonl,non_substantive_or_insufficient
llm_train_00151,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00152,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00153,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00154,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00155,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00156,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00157,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00158,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00159,True,True,True,medium,annotator_batch_003.jsonl,mixed
llm_train_00160,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00161,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00162,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00163,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00164,True,True,True,medium,annotator_batch_003.jsonl,mixed
llm_train_00165,True,True,True,high,annotator_batch_003.jsonl,mixed
llm_train_00166,True,False,True,medium,annotator_batch_003.jsonl,lived_only
llm_train_00167,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00168,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00169,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00170,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00171,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00172,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00173,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00174,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00175,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00176,False,,,medium,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00177,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00178,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00179,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00180,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00181,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00182,True,False,True,medium,annotator_batch_003.jsonl,lived_only
llm_train_00183,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00184,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00185,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00186,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00187,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00188,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00189,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00190,True,True,True,medium,annotator_batch_003.jsonl,mixed
llm_train_00191,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00192,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00193,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00194,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00195,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00196,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00197,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00198,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00199,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00200,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00201,True,False,True,medium,annotator_batch_003.jsonl,lived_only
llm_train_00202,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00203,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00204,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00205,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00206,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00207,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00208,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00209,False,,,medium,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00210,True,True,True,medium,annotator_batch_003.jsonl,mixed
llm_train_00211,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00212,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00213,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00214,True,True,True,high,annotator_batch_003.jsonl,mixed
llm_train_00215,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00216,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00217,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00218,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00219,True,True,False,medium,annotator_batch_003.jsonl,clinical_only
llm_train_00220,True,False,True,medium,annotator_batch_003.jsonl,lived_only
llm_train_00221,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00222,True,False,True,high,annotator_batch_003.jsonl,lived_only
llm_train_00223,True,True,False,high,annotator_batch_003.jsonl,clinical_only
llm_train_00224,False,,,high,annotator_batch_003.jsonl,non_substantive_or_insufficient
llm_train_00225,True,True,True,medium,annotator_batch_003.jsonl,mixed
llm_train_00226,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00227,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00228,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00229,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00230,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00231,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00232,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00233,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00234,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00235,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00236,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00237,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00238,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00239,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00240,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00241,False,,,medium,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00242,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00243,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00244,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00245,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00246,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00247,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00248,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00249,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00250,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00251,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00252,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00253,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00254,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00255,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00256,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00257,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00258,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00259,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00260,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00261,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00262,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00263,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00264,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00265,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00266,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00267,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00268,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00269,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00270,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00271,True,True,False,medium,annotator_batch_004.jsonl,clinical_only
llm_train_00272,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00273,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00274,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00275,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00276,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00277,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00278,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00279,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00280,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00281,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00282,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00283,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00284,False,,,medium,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00285,True,False,True,high,annotator_batch_004.jsonl,lived_only
llm_train_00286,False,,,medium,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00287,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00288,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00289,True,True,True,high,annotator_batch_004.jsonl,mixed
llm_train_00290,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00291,True,False,True,medium,annotator_batch_004.jsonl,lived_only
llm_train_00292,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00293,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00294,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00295,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00296,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00297,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00298,False,,,high,annotator_batch_004.jsonl,non_substantive_or_insufficient
llm_train_00299,True,True,False,high,annotator_batch_004.jsonl,clinical_only
llm_train_00300,True,True,True,medium,annotator_batch_004.jsonl,mixed
llm_train_00301,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00302,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00303,True,True,False,medium,annotator_batch_005.jsonl,clinical_only
llm_train_00304,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00305,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00306,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00307,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00308,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00309,True,True,False,medium,annotator_batch_005.jsonl,clinical_only
llm_train_00310,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00311,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00312,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00313,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00314,True,False,True,medium,annotator_batch_005.jsonl,lived_only
llm_train_00315,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00316,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00317,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00318,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00319,True,True,True,medium,annotator_batch_005.jsonl,mixed
llm_train_00320,True,True,True,high,annotator_batch_005.jsonl,mixed
llm_train_00321,True,False,True,medium,annotator_batch_005.jsonl,lived_only
llm_train_00322,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00323,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00324,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00325,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00326,True,True,True,high,annotator_batch_005.jsonl,mixed
llm_train_00327,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00328,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00329,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00330,True,False,True,medium,annotator_batch_005.jsonl,lived_only
llm_train_00331,True,True,False,medium,annotator_batch_005.jsonl,clinical_only
llm_train_00332,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00333,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00334,True,True,True,medium,annotator_batch_005.jsonl,mixed
llm_train_00335,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00336,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00337,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00338,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00339,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00340,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00341,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00342,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00343,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00344,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00345,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00346,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00347,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00348,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00349,True,True,False,medium,annotator_batch_005.jsonl,clinical_only
llm_train_00350,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00351,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00352,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00353,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00354,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00355,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00356,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00357,True,False,True,high,annotator_batch_005.jsonl,lived_only
llm_train_00358,True,True,False,medium,annotator_batch_005.jsonl,clinical_only
llm_train_00359,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00360,True,True,True,high,annotator_batch_005.jsonl,mixed
llm_train_00361,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00362,True,True,True,medium,annotator_batch_005.jsonl,mixed
llm_train_00363,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00364,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00365,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00366,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00367,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00368,True,True,False,high,annotator_batch_005.jsonl,clinical_only
llm_train_00369,False,,,medium,annotator_batch_005.jsonl,non_substantive_or_insufficient
llm_train_00370,False,,,high,annotator_batch_005.jsonl,non_substantive_or_insufficient
