annotation_id,substantive_target_discourse,clinical_frame_present,lived_experience_frame_present,confidence,source_file
pilot_0179,False,,,high,pilot_batch_003.jsonl
pilot_0180,True,True,False,high,pilot_batch_003.jsonl
pilot_0181,False,,,medium,pilot_batch_003.jsonl
pilot_0182,True,False,True,high,pilot_batch_003.jsonl
pilot_0183,True,True,False,high,pilot_batch_003.jsonl
pilot_0184,True,True,False,high,pilot_batch_003.jsonl
pilot_0185,False,,,medium,pilot_batch_003.jsonl
pilot_0186,False,,,high,pilot_batch_003.jsonl
pilot_0187,True,True,False,medium,pilot_batch_003.jsonl
pilot_0188,True,True,False,high,pilot_batch_003.jsonl
pilot_0189,True,True,True,high,pilot_batch_003.jsonl
pilot_0190,False,,,medium,pilot_batch_003.jsonl
pilot_0191,False,,,high,pilot_batch_003.jsonl
pilot_0192,False,,,high,pilot_batch_003.jsonl
pilot_0193,True,True,False,high,pilot_batch_003.jsonl
pilot_0194,False,,,high,pilot_batch_003.jsonl
pilot_0195,True,False,True,high,pilot_batch_003.jsonl
pilot_0196,False,,,high,pilot_batch_003.jsonl
pilot_0197,True,False,True,high,pilot_batch_003.jsonl
pilot_0198,True,False,True,medium,pilot_batch_003.jsonl
pilot_0199,False,,,high,pilot_batch_003.jsonl
pilot_0200,False,,,medium,pilot_batch_003.jsonl
